Name,Attribute,Authority,Pub date,Current,BLS no,Current taxon name,BMS counter,BMS current name counter,Group,Comments for BLS website,Comments for NBN,Cons eval,Autonyms,Synonyms,Component taxa of aggregate,BLS name (hashed),BLS abbrev,Rank,Eval 12,Eval 03,RDB 97,Rar,End,Pri,Eng,Sco,Wal,S8,IR,NB,Taxon name in conservation evaluation,Date changed,BLS TD updated (y) or unchanged (n/a)
Abrothallus bertianus,,De Not.,1849,x,2001,Abrothallus bertianus,3573,3573,{LF},,lichenicolous fungus,LC NS ,,Abrothallus glabratulae,,Abrothallus bertianus #,Abro bert #,Species,LC,,,NS,,,,,,,,,Abrothallus bertianus  [LF],,
Abrothallus caerulescens,,I. Kotte,1909,x,12,Abrothallus caerulescens,51953,51953,{LF},,lichenicolous fungus,LC NR ,,,,Abrothallus caerulescens #,Abro caer #,Species,LC,,,NR,,,,,,,,,Abrothallus caerulescens  [LF],amended 28/09/2018,
Abrothallus cetrariae,,I. Kotte,1909,x,2002,Abrothallus cetrariae,29794,29794,{LF},lichenicolous on Platismatia glauca. Sometimes considered synonymous with Abrothallus parmeliarum,lichenicolous fungus,LC NR ,,,,Abrothallus cetrariae #,Abro cetr #,Species,LC,,,NR,,,,,,,,,Abrothallus cetrariae  [LF],amended 28/09/2018 & 17/12/2018,
Abrothallus cladoniae,,R. Sant. & D. Hawksw.,1990,x,2003,Abrothallus cladoniae,10033,10033,{LF},,lichenicolous fungus,LC NR ,,,,Abrothallus cladoniae #,Abro clad #,Species,LC,,,NR,,,,,,,,,Abrothallus cladoniae  [LF],,
Abrothallus glabratulae,,I. Kotte,1909,,2001,Abrothallus bertianus,203494,3573,{LF},,lichenicolous fungus,LC NS ,,,,,,,,,,,,,,,,,,,,,
Abrothallus lobariae,,(Diederich & Etayo) Diederich & Ertz,2018,x,1984,Abrothallus lobariae,63750,63750,{LF},lichenicolous on Lobaria pulmonaria. Known only as 'Phoma' anamorph,lichenicolous fungus,NE NR,,,,Abrothallus lobariae #,Abro loba #,Species,NE,,,NR,,,,,,,,,Phoma lobariae  [LF],added 17/11/2018,
Abrothallus lobariellus,,(Nyl.) Zopf,1896,,2046,Dactylospora lobariella,15685,3530,{LF},,lichenicolous fungus,LC NS ,,,,,,,,,,,,,,,,,,,,,
Abrothallus microspermus,,Tul.,1852,x,4,Abrothallus microspermus,4398,4398,{LF},,lichenicolous fungus,LC NS ,,Vouauxiomyces truncatus (anamorph),,Abrothallus microspermus #,Abro micr #,Species,LC,,,NS,,,,,,,,,Abrothallus microspermus  [LF],altered 17/12/2018,
Abrothallus moorei,,Linds.,1867,,,Bachmanniomyces punctum,33089,64156,{LF},? Bachmanniomyces (Phaeopyxis) punctum,? Bachmanniomyces (Phaeopyxis) punctum, ,,,,,,,,,,,,,,,,,,,,altered 17/12/2018,
Abrothallus parmeliarum,,(Sommerf.) Arnold,1874,x,2004,Abrothallus parmeliarum,4399,4399,{LF},,lichenicolous fungus,LC NS ,,,,Abrothallus parmeliarum #,Abro parmel #,Species,LC,,,NS,,,,,,,,,Abrothallus parmeliarum  [LF],,
Abrothallus parmotrematis,,Diederich,2011,x,2633,Abrothallus parmotrematis,28175,28175,{LF},often considered synonymous with Abrothallus microspermus,lichenicolous fungus,NE NS,,Vouauxiomyces truncatus auct. brit. p.p. (anamorph),,Abrothallus parmotrematis #,Abro parmot #,Species,,,,,,,,,,,,,not included,altered 17/12/2018,y
Abrothallus prodiens,,(Harm.) Diederich & Hafellner,1989,x,2005,Abrothallus prodiens,10034,10034,{LF},,lichenicolous fungus,LC NS ,,,,Abrothallus prodiens #,Abro prod #,Species,LC,,,NS,,,,,,,,,Abrothallus prodiens  [LF],,
Abrothallus smithii,,Tul.,,,2004,Abrothallus parmeliarum,27488,4399,,,,LC NS ,,,,,,,,,,,,,,,,,,,,,
