Species,its_sequence,nuclsu_sequence,mtssu_sequence,nucssu_sequence
Abrothallus bertianus,NA,NA,NA,NA
Abrothallus caerulescens,NA,NA,NA,NA
Abrothallus cetrariae,NA,NA,NA,NA
Abrothallus cladoniae,NA,NA,NA,NA
Abrothallus lobariae,NA,NA,NA,NA
Abrothallus microspermus,NA,NA,NA,NA
Abrothallus parmeliarum,NA,NA,NA,NA
Abrothallus parmotrematis,NA,NA,NA,NA
Abrothallus prodiens,NA,NA,NA,NA
Abrothallus suecicus,2,NA,NA,NA
Abrothallus usneae,NA,NA,NA,NA
Abrothallus welwitschii,1,NA,NA,NA
Absconditella annexa,NA,NA,NA,NA
Absconditella celata,13,3,2,NA
Absconditella delutula,NA,NA,NA,NA
Absconditella lignicola,41,7,4,NA
Absconditella pauxilla,NA,1,3,NA
Absconditella trivialis,NA,1,1,NA
Acarospora admissa,NA,12,8,NA
Acarospora badiofusca,1,8,3,4
Acarospora cervina,21,5,1,3
Acarospora fusca,59,2,NA,2
Acarospora fuscata,20,26,16,4
Acarospora glaucocarpa,4,16,10,6
Acarospora impressula,2,8,3,3
Acarospora macrospora,63,12,6,4
Acarospora moenium,31,6,NA,4
Acarospora nitrophila,12,12,10,NA
Acarospora privigna,200,17,4,11
Acarospora sinopica,7,6,5,NA
Acarospora smaragdula,NA,NA,NA,NA
Acarospora subfuscescens,200,18,1,17
Acarospora subrufula,NA,NA,NA,NA
Acarospora umbilicata,NA,NA,NA,NA
Acarospora veronensis,NA,1,1,NA
Acarospora versicolor,NA,NA,NA,NA
Acolium inquinans,13,5,1,2
Acolium marcianum,NA,NA,NA,NA
Acolium sessile,1,1,NA,NA
Acremonium lichenicola,NA,NA,NA,NA
Acremonium rhabdosporum,NA,NA,NA,NA
Acrocordia cavata,1,NA,1,NA
Acrocordia conoidea,NA,NA,NA,NA
Acrocordia gemmata,1,1,4,NA
Acrocordia macrospora,NA,NA,NA,NA
Acrocordia salweyi,NA,NA,NA,NA
Acrocordia subglobosa,NA,1,1,1
Actinocladium rhodosporum,NA,NA,NA,NA
Adelococcus alpestris,NA,NA,NA,NA
Adelococcus interlatens,NA,NA,NA,NA
Adelolechia pilati,NA,NA,NA,NA
Adelolecia pilati,NA,1,NA,NA
Agonimia allobata,19,7,7,5
Agonimia flabelliformis,31,6,3,5
Agonimia gelatinosa,NA,1,1,NA
Agonimia globulifera,NA,NA,NA,NA
Agonimia octospora,NA,NA,NA,NA
Agonimia opuntiella,1,1,2,NA
Agonimia repleta,12,5,3,2
Agonimia tristicula,2,4,4,NA
Agyrium rufum,1,NA,NA,NA
Ainoa mooreana,1,1,1,2
Alectoria nigricans,3,4,NA,3
Alectoria ochroleuca,4,4,3,2
Alectoria sarmentosa,7,6,4,1
Allantoparmelia alpicola,10,3,NA,3
Alloarthopyrenia italica,3,1,5,1
Allographa anomala,NA,NA,NA,NA
Allographa pauciloculata,NA,NA,NA,NA
Alyxoria culmigena,NA,NA,NA,NA
Alyxoria mougeotii,NA,NA,NA,NA
Alyxoria ochrocheila,NA,NA,4,NA
Alyxoria paraxanthodes,NA,NA,NA,NA
Alyxoria subelevata,NA,NA,NA,NA
Alyxoria varia,1,1,6,NA
Alyxoria viridipruinosa,NA,NA,NA,NA
Alyxoria xerica,NA,NA,NA,NA
Amandinea coniops,NA,NA,NA,NA
Amandinea pelidna,1,NA,NA,NA
Amandinea punctata,200,5,6,1
Ameliella andreaeicola,NA,NA,NA,NA
Ameliella grisea,NA,NA,NA,NA
Amygdalaria consentiens,NA,NA,1,NA
Amygdalaria pelobotryon,NA,NA,1,NA
Anaptychia ciliaris,56,15,5,11
Anaptychia mamillata,NA,NA,NA,NA
Anaptychia runcinata,12,3,1,2
Andreiomyces obtusaticus,2,NA,6,NA
Anisomeridium biforme,2,2,2,NA
Anisomeridium macropycnidiatum,NA,NA,NA,NA
Anisomeridium polypori,13,4,3,NA
Anisomeridium ranunculosporum,NA,NA,NA,NA
Anisomeridium robustum,NA,NA,NA,NA
Anisomeridium viridescens,NA,NA,NA,NA
Antennulariella lichenisata,NA,NA,NA,NA
Aphanopsis coenosa,NA,2,1,NA
Aquacida antricola,NA,NA,NA,NA
Aquacidia antricola,NA,NA,1,NA
Aquacidia trachona,1,1,2,NA
Aquacidia viridifarinosa,NA,NA,NA,NA
Arctomia delicatula,NA,1,1,NA
Arctoparmelia incurva,10,6,1,3
