kingdom,phylum,class,order,family,genus,species
Fungi,Ascomycota,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Abrothallus parmeliarum
Fungi,Ascomycota,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Abrothallus caerulescens
Fungi,Ascomycota,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Abrothallus cetrariae
Fungi,Ascomycota,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Abrothallus cladoniae
Fungi,Ascomycota,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Abrothallus lobariae
Fungi,Ascomycota,Eurotiomycetes,Sclerococcales,Dactylosporaceae,Sclerococcum,Sclerococcum lobariellum
Fungi,Ascomycota,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Abrothallus microspermus
Fungi,Ascomycota,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Abrothallus parmotrematis
Fungi,Ascomycota,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Abrothallus prodiens
Fungi,Ascomycota,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Abrothallus suecicus
Fungi,Ascomycota,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Abrothallus usneae
Fungi,Ascomycota,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Abrothallus welwitschii
Fungi,Ascomycota,Lecanoromycetes,Ostropales,Stictidaceae,Absconditella,Absconditella annexa
Fungi,Ascomycota,Lecanoromycetes,Ostropales,Stictidaceae,Absconditella,Absconditella celata
Fungi,Ascomycota,Lecanoromycetes,Ostropales,Stictidaceae,Absconditella,Absconditella delutula
Fungi,Ascomycota,Lecanoromycetes,Ostropales,Stictidaceae,Absconditella,Absconditella lignicola
Fungi,Ascomycota,Lecanoromycetes,Ostropales,Stictidaceae,Absconditella,Absconditella pauxilla
Fungi,Ascomycota,Lecanoromycetes,Ostropales,Stictidaceae,Absconditella,Absconditella trivialis
Fungi,Ascomycota,Lecanoromycetes,Acarosporales,Acarosporaceae,Acarospora,Acarospora admissa
Fungi,Ascomycota,Lecanoromycetes,Acarosporales,Acarosporaceae,Acarospora,Acarospora badiofusca
Fungi,Ascomycota,Lecanoromycetes,Acarosporales,Acarosporaceae,Acarospora,Acarospora impressula
Fungi,Ascomycota,Lecanoromycetes,Acarosporales,Acarosporaceae,Acarospora,Acarospora veronensis
Fungi,Ascomycota,Lecanoromycetes,Acarosporales,Acarosporaceae,Myriospora,Myriospora rhagadiza
Fungi,Ascomycota,Lecanoromycetes,Acarosporales,Acarosporaceae,Myriospora,Myriospora smaragdula
Fungi,Ascomycota,Lecanoromycetes,Acarosporales,Acarosporaceae,Acarospora,Acarospora fusca
Fungi,Ascomycota,Lecanoromycetes,Acarosporales,Acarosporaceae,Trimmatothelopsis,Trimmatothelopsis benedarensis
Fungi,Ascomycota,Lecanoromycetes,Acarosporales,Acarosporaceae,Acarospora,Acarospora glaucocarpa
Fungi,Ascomycota,Lecanoromycetes,Acarosporales,Acarosporaceae,Acarospora,Acarospora cervina
Fungi,Ascomycota,Dothideomycetes,Trypetheliales,Polycoccaceae,Polycoccum,Polycoccum microsticticum
Fungi,Ascomycota,Lecanoromycetes,Acarosporales,Acarosporaceae,Acarospora,Acarospora fuscata
Fungi,Ascomycota,Lecanoromycetes,Acarosporales,Acarosporaceae,Acarospora,Acarospora macrospora
Fungi,Ascomycota,Lecanoromycetes,Acarosporales,Acarosporaceae,Pleopsidium,Pleopsidium chlorophanum
Fungi,Ascomycota,Lecanoromycetes,Acarosporales,Acarosporaceae,Myriospora,Myriospora rufescens
Fungi,Ascomycota,Lecanoromycetes,Acarosporales,Acarosporaceae,Caeruleum,Caeruleum heppii
Fungi,Ascomycota,Lecanoromycetes,Acarosporales,Acarosporaceae,Sarcogyne,Sarcogyne hypophaea
Fungi,Ascomycota,Lecanoromycetes,Acarosporales,Acarosporaceae,Acarospora,Acarospora moenium
Fungi,Ascomycota,Lecanoromycetes,Acarosporales,Acarosporaceae,Acarospora,Acarospora nitrophila
Fungi,Ascomycota,Lecanoromycetes,Acarosporales,Acarosporaceae,Acarospora,Acarospora privigna
Fungi,Ascomycota,Lecanoromycetes,Acarosporales,Acarosporaceae,Trimmatothelopsis,Trimmatothelopsis rhizobola
Fungi,Ascomycota,Lecanoromycetes,Acarosporales,Acarosporaceae,Myriospora,Myriospora scabrida
Fungi,Ascomycota,Lecanoromycetes,Acarosporales,Acarosporaceae,Acarospora,Acarospora sinopica
Fungi,Ascomycota,Lecanoromycetes,Acarosporales,Acarosporaceae,Acarospora,Acarospora subfuscescens
Fungi,Ascomycota,Lecanoromycetes,Acarosporales,Acarosporaceae,Acarospora,Acarospora subrufula
Fungi,Ascomycota,Lecanoromycetes,Acarosporales,Acarosporaceae,Acarospora,Acarospora umbilicata
Fungi,Ascomycota,Lecanoromycetes,Acarosporales,Acarosporaceae,Acarospora,Acarospora versicolor
Fungi,Ascomycota,Lecanoromycetes,Caliciales,Caliciaceae,Acolium,Acolium inquinans
Fungi,Ascomycota,Lecanoromycetes,Caliciales,Caliciaceae,Acolium,Acolium marcianum
Fungi,Ascomycota,Lecanoromycetes,Caliciales,Caliciaceae,Acolium,Acolium sessile
Fungi,Ascomycota,Eurotiomycetes,Mycocaliciales,Sphinctrinaceae,Sphinctrina,Sphinctrina turbinata
Fungi,Ascomycota,Lecanoromycetes,Caliciales,Caliciaceae,Calicium,Calicium tigillare
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Pronectria,Pronectria anisospora
Fungi,Ascomycota,Dothideomycetes,Monoblastiales,Monoblastiaceae,Acrocordia,Acrocordia gemmata
